Company,Product,TypeName,Inches,Ram,OS,Weight,Price_Tsh,Screen,ScreenW,ScreenH,Touchscreen,IPSpanel,RetinaDisplay,CPU_company,CPU_freq,CPU_model,PrimaryStorage,SecondaryStorage,PrimaryStorageType,SecondaryStorageType,GPU_company,GPU_model
Apple,MacBook Pro,Ultrabook,13.3,8,macOS,1.37,3818116.5,Standard,2560,1600,No,Yes,Yes,Intel,2.3,Core i5,128,0,SSD,No,Intel,Iris Plus Graphics 640
Apple,Macbook Air,Ultrabook,13.3,8,macOS,1.34,2561979,Standard,1440,900,No,No,No,Intel,1.8,Core i5,128,0,Flash Storage,No,Intel,HD Graphics 6000
HP,250 G6,Notebook,15.6,8,No OS,1.86,1638750,Full HD,1920,1080,No,No,No,Intel,2.5,Core i5 7200U,256,0,SSD,No,Intel,HD Graphics 620
Apple,MacBook Pro,Ultrabook,15.4,16,macOS,1.83,7231732.5,Standard,2880,1800,No,Yes,Yes,Intel,2.7,Core i7,512,0,SSD,No,AMD,Radeon Pro 455
Apple,MacBook Pro,Ultrabook,13.3,8,macOS,1.37,5140260,Standard,2560,1600,No,Yes,Yes,Intel,3.1,Core i5,256,0,SSD,No,Intel,Iris Plus Graphics 650
Acer,Aspire 3,Notebook,15.6,4,Windows 10,2.1,1140000,Standard,1366,768,No,No,No,AMD,3,A9-Series 9420,500,0,HDD,No,AMD,Radeon R5
Apple,MacBook Pro,Ultrabook,15.4,16,Mac OS X,2.04,6098914.5,Standard,2880,1800,No,Yes,Yes,Intel,2.2,Core i7,256,0,Flash Storage,No,Intel,Iris Pro Graphics
Apple,Macbook Air,Ultrabook,13.3,8,macOS,1.34,3302295,Standard,1440,900,No,No,No,Intel,1.8,Core i5,256,0,Flash Storage,No,Intel,HD Graphics 6000
Asus,ZenBook UX430UN,Ultrabook,14,16,Windows 10,1.3,4260750,Full HD,1920,1080,No,No,No,Intel,1.8,Core i7 8550U,512,0,SSD,No,Nvidia,GeForce MX150
Acer,Swift 3,Ultrabook,14,8,Windows 10,1.6,2194500,Full HD,1920,1080,No,Yes,No,Intel,1.6,Core i5 8250U,256,0,SSD,No,Intel,UHD Graphics 620
HP,250 G6,Notebook,15.6,4,No OS,1.86,1122615,Standard,1366,768,No,No,No,Intel,2.5,Core i5 7200U,500,0,HDD,No,Intel,HD Graphics 620
HP,250 G6,Notebook,15.6,4,No OS,1.86,983221.5,Full HD,1920,1080,No,No,No,Intel,2,Core i3 6006U,500,0,HDD,No,Intel,HD Graphics 520
Apple,MacBook Pro,Ultrabook,15.4,16,macOS,1.83,6953914.5,Standard,2880,1800,No,Yes,Yes,Intel,2.8,Core i7,256,0,SSD,No,AMD,Radeon Pro 555
Dell,Inspiron 3567,Notebook,15.6,4,Windows 10,2.2,1421865,Full HD,1920,1080,No,No,No,Intel,2,Core i3 6006U,256,0,SSD,No,AMD,Radeon R5 M430
Apple,"MacBook 12""",Ultrabook,12,8,macOS,0.92,3597840,Standard,2304,1440,No,Yes,Yes,Intel,1.2,Core M m3,256,0,SSD,No,Intel,HD Graphics 615
